text,label,prediction
người ta có bạn bè nhìn vui thật,5,enjoyment
cho nghỉ viêc mói đúng sao goi là kỷ luật,6,disgust
kinh vãi 😡,1,anger
nhà thì không xa lắm nhưng chưa bao giờ đi vì sợ bị đè bẹp luôn người =))))),3,fear
bố không thích nộp đấy mày thích ý kiến không,0,anger
bắt cóc bỏ đĩa . quanh đi quẩn lại chỉ khổ dân đen thôi !,4,anger
per khi nào bạn có bằng xe ôtô thì bạn mới hiểu . sai thì đã có ca,4,Others
một hành động đẹp đầy tính nhân văn ☺️☺️,2,enjoyment
"anh nhỏ nhẹ xin 100k rồi trước khi đi còn chào người đẹp , đi cẩn thận """,4,enjoyment
per trình mày vẫn còn thấp chán =)),4,enjoyment
mấy ai được như vậy ??,4,Others
có ai như tao vô đọc bình luận 🤣 tao cười tao xĩu,2,enjoyment
ủa má . 2 đứa yêu nhau vô duyên và sân si giống nhau vậy ?,1,disgust
góp vui cho chủ thớt 😂😂,2,enjoyment
sống 17 năm chưa crush ai bao giờ,5,Others
ổng quay thiệt mà sao chửi ổng thế . không quay sao máy bạn xem được đó :)),4,enjoyment
thần kinh cái đầu mày …,1,disgust
nghe ngọt thế :((,2,enjoyment
sao lại cứ phải thế nhỉ,4,disgust
mệt vãi .. mà cừời cũng vãi ??????,2,enjoyment
kinh khủng thật :((,3,sadness
hậu duệ mặt trời đấy chứ đùa đâu nhá 😗😗,4,enjoyment
tôi ở phú yên và anh này nói rất chuẩn < 3,2,enjoyment
đứa nào bị táo bón thâm niên cứ ra cầu này mà nhảy đảm bảo hiệu quả ngay lần đầu trải nghiệm 🤣🤣🤣,2,enjoyment
trơi ơi sao lại cháy chứ,6,fear
có những người không có ý thức bỏ quần áo rách hoặc mặc rồi để vào tủ để đỡ phải đi vứt ...,1,disgust
per khi ế nhưng vẫn phải giương mắt nhìn bọn nó ân ái,5,disgust
per tiến cử bản thân nào,4,Others
vẫn chọn tech là ngân hàng đồng hành,2,enjoyment
per dạo này ít tung tăng hơn xưa nên hơi trầm cảm dồi chăng 😳,4,sadness
dume sao sao nó nói tiếng việt được vậy,6,disgust
kêu gọi thì lói thế thôi chứ dân nó vẫn dùng apple như thường,4,Others
nhưng tao đéo có crush,5,others
"từ nay ho , thì phải kiếm chỗ nào nằm tạm",4,sadness
tao đéo ngờ được đây là trường tao :)))),6,enjoyment
yêu nghề thực sự,2,enjoyment
:))) ra thấy nó xấu chó thì lại về chặn số à,4,enjoyment
này là xạo chó chứ nguyên giá gì . kinh doanh là phải lừa lọc ... lừa giỏi diễn đạt thì giàu,1,disgust
ý thức con ruồi là chủ yếu .. thì ngập rác là chuyện đương nhiên .,1,disgust
phim hay thật nhưng cái kết hơi khó hiểu :v chốt lại là đáng đồng tiền bát gạo :v,2,enjoyment
trời đụ thằng con trời đánh,0,anger
"má , chơi dị ai chơi lại , mấy ba",1,disgust
bọn biến thái,1,disgust
nào thức tỉnh đi các bạn ơi 😃,4,enjoyment
chắc chắn bố của bạn này là một người vui tính chứ không phải khó tính . khiếu khôi hài bạn ấy ảnh hưởng từ bố .,2,enjoyment
chất lượng âm thanh bản này hình như nghe hay hơn bản gốc hồi mấy năm trước nhiều < 3,2,enjoyment
mặt chúng bạn kiểu lại đéo được trả tiền rồi 😞,5,sadness
"mình chưa từng thấy phim nào ý nghĩa như phim này cả , nó dạy cho ta về nhiều mặt trong cuộc sống , khi vui , khi buồn",2,enjoyment
nhìn thôi cũng đau lòng :)),5,sadness
"xem cái con cặc gì , tắt đi",0,disgust
sao có dầu ăn ở đây nhỉ ?,6,Others
"dưới nước không nhìn được , kiểu gì chả có đứa sờ mông sờ .... dcm súc vật :)",0,disgust
tao rất sợ mất đứa tỏ ra như thế,3,fear
per ơi .... anh muốn anh và nó sẽ bảo vệ đời em 😎,2,enjoyment
tao cũng thế mà ba tao vứt hết mẹ rồi,4,sadness
đến cái camera nó cũng hắt hủi mày :))) chớt đi chứ sống nàm gì nữa,1,disgust
hú hồn cái lồn còn nguyên :),3,disgust
vẫn thắc mắc tại sao trước mình thi vào 10 lại dễ thế,4,sadness
có vẻ người dân hơi mê tín quá 😂,1,enjoyment
"mình trả hùa , mình vẫn đỗ nhắn tin",2,Others
tôi còn chẳng lấy ảnh lớp cho nữa,5,sadness
per sáng mai kiểu gì cũng về tới nhà :)),2,enjoyment
đợt trước con em tao đi học cũng bị con kia hăm đòi đánh . tao lên tận trường kêu nó ra bảo mày muốn đánh tao cho tụi mày đánh đó . học sinh mà bố láo,0,anger
tôi cũng muốn được cảm thấy như vậy ??,5,Others
xăm chữ trái và phải lên mu bàn tay ... hy vọng là mày vẫn biết phâ biệt mặt chữ :)),2,disgust
sang năm quyêt định đi ngủ cho đỡ mỏi mắt,4,Others
khi nào vụ này kết thúc thì mình uống cf trung nguyên trở lại . sợ làm giàu cho cô per lắm .,1,fear
đến năm cuối đại học rồi lúc nhớ lại đéo có gì :)),5,enjoyment
t chắc bỏ nhà ra đi khi ở với bố mẹ kiểu này quá . vẫn may bố mẹ tao không hề giống này tí nào,2,sadness
