text,label,prediction
nói tiếng anh lưu loát .,0,lecturer
giáo viên rất vui tính .,0,lecturer
cô max có tâm .,0,lecturer
"giảng bài thu hút , dí dỏm .",0,lecturer
"giáo viên không giảng dạy kiến thức , hướng dẫn thực hành trong quá trình học .",0,lecturer
thầy dạy nhiệt tình và tâm huyết .,0,lecturer
tính điểm thi đua các nhóm .,1,curriculum
thầy nhiệt tình giảng lại cho học sinh .,0,lecturer
có đôi lúc nói hơi nhanh làm sinh viên không theo kịp .,0,lecturer
"giảng dạy nhiệt tình , liên hệ thực tế khá nhiều , tương tác với sinh viên tương đối tốt .",0,lecturer
giảng viên nhiệt tình trong công tác giảng dạy .,0,lecturer
"cô rất nhiệt tình , dễ thương , dạy dễ hiểu .",0,lecturer
trong trường macbook thầy số hai thì không có máy nào số một .,3,facility
sinh viên không tiếp thu kịp cũng như không hiểu gì .,1,curriculum
thầy nhiệt tình giúp đỡ sinh viên trong quá trình thực hành .,0,lecturer
thầy rất tận tình và giúp đỡ sinh viên rất nhiều .,0,lecturer
giảng viên giải thích kỹ và chi tiết .,0,lecturer
"thầy dạy rất chi tiết , lý thuyết đầy đủ .",0,lecturer
"còn những phần tìm bao đóng , chứng minh dạng chuẩn chưa làm rõ .",1,curriculum
cung cấp kiến thức bổ ích .,0,curriculum
bắt đầu buổi học đúng giờ .,0,lecturer
"giảng dạy dễ hiểu , tận tâm !",0,lecturer
"giảng viên nhiệt tình , giải đáp thắc mắc đầy đủ .",0,lecturer
nên đưa ra một vài phương pháp học lập trình hay cho sinh viên .,0,curriculum
giảng viên dạy sôi nổi .,0,lecturer
em học bên chất lượng cao mà phòng máy không cung cấp đủ máy ( vì máy hư hoặc không cài chương trình ) .,2,facility
chưa giỏi chuyên môn cho lắm .,0,lecturer
cách mà cô tiếp cận với sinh viên .,0,lecturer
"trợ giàng nhiệt tình , quan tâm và theo sát sinh viên .",0,lecturer
"giảng viên tận tâm , gần gũi với học sinh .",0,lecturer
thầy dạy rất nhiệt tình và giảng kỹ bài không cần cải thiện gì cả .,0,lecturer
"phòng học thoáng mát , trang thiết bị đầy đủ .",2,facility
thầy rất nhiệt tình thân thiện và vui tính cách giảng dạy rất dễ hiểu .,0,lecturer
không nhiệt tình chỉ dẫn và luôn gây khó khăn cho sinh viên .,0,lecturer
giữa lý thuyết từ vựng với trò chơi để dễ tiếp thu .,1,curriculum
môn học này giúp chúng em hiểu ra những vấn đề cơ bản .,1,curriculum
giáo trình chưa có hợp lý .,1,curriculum
mong thầy xem xét lại việc nộp bài !,0,lecturer
"cô wzjwz234 , dạy rất nhiệt tính , tận tâm tận lực , giải thích từng câu code giúp học sinh hiểu rõ vấn đề , rất thích cô dạy môn hướng đối tượng này .",0,lecturer
